Asset Turnover Ratio,Average return on capital employed 3Years,Book Value,CROIC,Cash Conversion Cycle,Change in promoter holding 3Years,Company,Current Price,Current ratio,Days Payable Outstanding,Debt to equity Ratio,Dividend Yield,EPS,Face Value,Financial leverage,Free cash flow last year,Industry,Industry PE,Intrinsic Value,Inventory turnover ratio,Market Cap,Piotroski score,Price to Earning,Price to Earnings To Growth,Price to Free Cash Flow,Price to Sales Ratio,Price to book value,Profit after tax last year,Promoter holding,Quick ratio,ROCE,ROE,Receivables to Sales Ratio,Reserves,Return on assets,Return on assets 3years,Sales Growth (3Yrs),Sector,Stock P/E,Unpledged promoter holding,Volume,debt to Free cash flow,debt to Reserves Ratio
-0.01,%,4.34,-11.36,,0.00,Golkonda Aluminium Extrusions Ltd,2.20,529.00,0.00,0.00,0.00,-0.26,10.00,1.00,1.09, Industry: Aluminium and Aluminium Products,10.21,,,2.73,8.00,30.33,,2.50,,0.51,3.57,60.50,529.00,7400,7140,0.00,-7.02,102,350,%,Sector: Non Ferrous Metals ,30.33,60.50,,0.00,0.00
0.00,%,2.16,-31.43,,-6.63,Samtel (India) Ltd,1.89,1.20,0.00,0.07,0.00,-0.03,10.00,1.07,0.67, Industry: Electronics - Components,20.68,,,1.34,4.00,,,2.00,,0.88,1.22,44.11,1.20,1091,2033,,-5.56,718,905,%,Sector: Consumer Durables ,,44.11,,0.34,-0.02
,%,,%,,%,Standard Chartered PLC,55.00,,,,%,,0.05,,Cr., Industry: Banks - Private Sector,28.49,,,3751,1.00,,,,,,Cr.,%,,999,%,,Cr.,%,%,%,Sector: Banks ,,%,0,,
,,,,,,Jakharia Fabric Ltd,182.00,,,,%,,10.00,,, Industry: Textiles - Products,,,,73.96,,,,,,,,,,999,%,,,,,%,Sector: Textiles ,,,,,
6.26,129,136.22,-53.06,71.62,23.04,Dalal Street Investments Ltd,194.45,66.33,0.00,0.00,0.00,65.48,10.00,1.00,0.00, Industry: Finance & Investments,25.64,32.45,76.56,6.22,5.00,2.88,0.03,,10.72,1.43,8.83,80.16,66.33,502,%,0.01,4.04,328,91.43,310,Sector: Finance ,2.88,80.16,275,0.00,0.00
2.79,%,1.41,112,,-3.21,Mitshi India Ltd,35.00,2.87,9.61,0.40,0.00,1.00,10.00,1.40,-0.16, Industry: Trading,53.61,,,30.80,5.00,34.61,,-192.50,6.03,24.84,0.42,15.57,2.59,382,%,0.45,-7.56,42.21,335,153,Sector: Trading ,34.61,15.57,10944,-2.19,-0.06
6.88,42.72,-13.31,62.12,88.96,-0.30,STL Global Ltd,11.05,3.42,70.52,,0.00,16.04,10.00,-0.57,-3.89, Industry: Textiles - Processing,13.15,,4.91,30.33,7.00,0.70,,-7.81,0.20,,15.99,64.83,2.78,182,%,0.53,-63.77,33.32,20.81,9.81,Sector: Textiles ,0.70,42.97,18338,-145.01,-0.90
,,-15.88,,,,Lime Chemicals Ltd,26.20,,,,0.00,,10.00,,, Industry: Chemicals,,,,17.04,,,,,,,,,,156,%,,,,,39.43,Sector: Chemicals ,6.61,,,,
4.99,109,35.38,172,-41.18,-0.02,Hindustan Unilever Ltd,1713,1.08,86.65,0.00,1.28,27.94,1.00,1.00,5004, Industry: Personal Care - Multinational,71.51,2235,15.99,370874,8.00,59.90,5.00,74.12,9.70,48.42,6191,67.18,0.80,119,84.04,0.04,7443,68.70,64.58,7.16,Sector: FMCG ,59.90,67.18,519097,0.00,0.00
1.38,74.55,273.83,163,146.22,0.00,Graphite India Ltd,295.65,2.93,83.15,0.07,18.60,173.78,2.00,1.07,2286, Industry: Electrodes - Graphites,5.04,48.05,5.33,5777,8.00,1.68,0.02,2.53,0.74,1.08,3431,65.22,1.21,119,84.89,0.11,5312,78.68,40.75,72.45,Sector: Capital Goods-Non Electrical Equipment ,1.68,65.22,1085873,0.34,0.07
,,13.46,,,,Prime Securities Ltd,36.60,,,,0.00,,5.00,,, Industry: Finance & Investments,,,,97.04,,,,,,,,,,105,465,,,,,%,Sector: Finance ,5.29,,,,
,,239.80,,,,Thomas Cook (India) Ltd,195.65,,,,0.19,,1.00,,, Industry: Travel Agencies,,,,7256,,,,,,,,,,103,117,,,,,51.35,Sector: Miscellaneous ,85.53,,,,
,,10.80,,,,Castrol India Ltd,126.80,,,,3.94,,5.00,,, Industry: Chemicals,,,,12542,,,,,,,,,,101,64.81,,,,,5.79,Sector: Chemicals ,17.63,,,,
1.68,%,44.51,66.60,,%,Innovana Thinklabs Ltd,280.10,1.56,136.88,0.00,0.00,18.47,10.00,1.00,-1.83, Industry: Computers - Software - Medium / Small,14.92,,,114.84,5.00,15.01,,-62.75,3.72,6.29,7.65,73.17,1.56,99.50,77.47,0.00,14.15,70.22,689,%,Sector: IT - Software ,15.01,73.17,10080,,0.01
3.11,30.15,0.38,15.75,-111.67,0.16,Kay Power & Paper Ltd,2.58,1.41,174.06,24.52,0.00,0.93,10.00,25.52,10.72, Industry: Paper,8.05,0.02,16.97,2.74,9.00,0.26,0.00,0.26,0.07,6.85,16.41,44.83,1.12,93.18,%,0.08,-10.24,60.54,23.55,10.59,Sector: Paper ,0.26,44.83,250,1.56,-0.96
1.30,33.10,963.58,155,178.43,2.45,HEG Ltd,1192,2.82,87.65,0.18,6.95,763.54,10.00,1.18,571.76, Industry: Electrodes - Graphites,5.04,386.98,7.14,4599,8.00,1.51,0.03,8.04,0.70,1.24,1079,61.24,1.75,90.57,80.52,0.43,3680,58.76,18.40,30.79,Sector: Capital Goods-Non Electrical Equipment ,1.51,61.24,205179,2.11,0.18
3.05,60.40,282.88,94.22,-28.84,0.00,Procter & Gamble Hygiene and Health Care Ltd,10862,1.52,80.86,0.00,0.37,124.12,10.00,1.00,377.36, Industry: Personal Care - Multinational,71.51,13577,16.32,35257,8.00,87.51,6.84,93.54,12.44,38.40,378.54,70.64,1.28,89.10,56.85,0.08,885.80,52.87,40.52,1.71,Sector: FMCG ,87.51,70.64,1774,0.00,0.00
,,54.49,,,,Cigniti Technologies Ltd,295.45,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,817.34,,,,,,,,,,86.50,187,,,,,11.12,Sector: IT - Software ,5.55,,,,
,,-8.39,,,,Precision Containeurs Ltd,0.19,,,,0.00,,10.00,,, Industry: Trading,,,,0.43,,,,,,,,,,84.95,%,,,,,%,Sector: Trading ,,,,,
,,78.15,,,,Avanti Feeds Ltd,335.80,,,,1.19,,1.00,,, Industry: Food - Processing - Indian,,,,4575,,,,,,,,,,83.09,53.10,,,,,25.69,Sector: Miscellaneous ,16.93,,,,
,,3696,,,,Paul Merchants Ltd,1388,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,142.69,,,,,,,,,,79.56,82.09,,,,,28.06,Sector: Finance ,9.48,,,,
,,84.46,,,,Matrimony.com Ltd,589.65,,,,0.25,,5.00,,, Industry: Miscellaneous,,,,1341,,,,,,,,,,78.79,91.19,,,,,17.00,Sector: Miscellaneous ,31.09,,,,
,,927.78,,,,Procter & Gamble Health Ltd,4264,,,,10.32,,10.00,,, Industry: Pharmaceuticals - Multinational,,,,7078,,,,,,,,,,78.16,73.25,,,,,-3.32,Sector: Pharmaceuticals ,8.26,,,,
,,118.45,,,,Accelya Solutions India Ltd,845.30,,,,5.44,,10.00,,, Industry: Computers - Software - Medium / Small,,,,1262,,,,,,,,,,76.94,49.45,,,,,8.00,Sector: IT - Software ,12.38,,,,
,,7.28,,,,Artemis Electricals Ltd,98.40,,,,0.00,,10.00,,, Industry: Electric Equipment,,,,243.08,,,,,,,,,,72.80,72.12,,,,,%,Sector: Capital Goods - Electrical Equipment ,25.51,,,,
,,17.34,,,,Amal Ltd,145.00,,,,0.00,,10.00,,, Industry: Dyes And Pigments,,,,136.66,,,,,,,,,,72.72,381,,,,,18.91,Sector: Chemicals ,17.61,,,,
,,-5.85,,,,SpiceJet Ltd,124.80,,,,0.00,,10.00,,, Industry: Transport - Airlines,,,,7484,,,,,,,,,,72.30,%,,,,,14.72,Sector: Air Transport Service ,,,,,
,,50.79,,,,Fourth Dimension Solutions Ltd,15.50,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,33.77,,,,,,,,,,72.02,43.64,,,,,-6.78,Sector: IT - Software ,0.86,,,,
,,105.77,,,,TAAL Enterprises Ltd,270.20,,,,0.00,,10.00,,, Industry: Transport - Airlines,,,,84.20,,,,,,,,,,72.02,62.24,,,,,%,Sector: Air Transport Service ,5.40,,,,
,,12.36,,,,Indian Energy Exchange Ltd,145.10,,,,1.53,,1.00,,, Industry: Finance & Investments,,,,4347,,,,,,,,,,71.26,46.87,,,,,13.19,Sector: Finance ,26.34,,,,
,,53.19,,,,Colgate-Palmolive (India) Ltd,1139,,,,2.11,,1.00,,, Industry: Personal Care - Multinational,,,,30976,,,,,,,,,,71.10,48.67,,,,,1.70,Sector: FMCG ,41.00,,,,
,,381.01,,,,Nestle India Ltd,11672,,,,0.99,,10.00,,, Industry: Food - Processing - MNC,,,,112543,,,,,,,,,,70.93,45.30,,,,,11.37,Sector: FMCG ,68.37,,,,
,,405.54,,,,KSE Ltd,1171,,,,5.13,,10.00,,, Industry: Food - Processing - Indian,,,,374.60,,,,,,,,,,70.13,60.43,,,,,13.17,Sector: Miscellaneous ,33.63,,,,
,,9.15,,,,Amaze Entertech Ltd,44.05,,,,0.00,,10.00,,, Industry: Engineering,,,,1.54,,,,,,,,,,69.23,87.50,,,,,%,Sector: Capital Goods-Non Electrical Equipment ,8.11,,,,
,,6.75,,,,Viaan Industries Ltd,4.60,,,,10.72,,1.00,,, Industry: Trading,,,,50.40,,,,,,,,,,66.35,70.14,,,,,%,Sector: Trading ,2.36,,,,
,,8.03,,,,Bright Solar Ltd,10.75,,,,0.00,,10.00,,, Industry: Pumps,,,,21.93,,,,,,,,,,64.51,46.58,,,,,-6.07,Sector: Capital Goods - Electrical Equipment ,3.54,,,,
,,695.06,,,,Page Industries Ltd,20586,,,,0.64,,10.00,,, Industry: Textiles - Products,,,,22954,,,,,,,,,,64.15,45.88,,,,,18.24,Sector: Readymade Garments/ Apparells ,58.27,,,,
,,83.67,,,,Caplin Point Laboratories Ltd,412.55,,,,0.48,,2.00,,, Industry: Pharmaceuticals - Indian - Formulations,,,,3121,,,,,,,,,,63.52,48.77,,,,,46.10,Sector: Pharmaceuticals ,17.67,,,,
,,56.24,,,,Sadhana Nitro Chem Ltd,130.20,,,,0.00,,5.00,,, Industry: Dyes And Pigments,,,,242.57,,,,,,,,,,61.24,110,,,,,32.01,Sector: Chemicals ,3.22,,,,
,,221.88,,,,Gillette India Ltd,7240,,,,0.32,,10.00,,, Industry: Personal Care - Multinational,,,,23596,,,,,,,,,,59.81,38.92,,,,,-3.73,Sector: FMCG ,97.62,,,,
,,45.14,,,,Oasis Securities Ltd,25.00,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,4.63,,,,,,,,,,59.75,12.08,,,,,158,Sector: Finance ,,,,,
,,212.75,,,,8K Miles Software Services Ltd,88.75,,,,0.00,,5.00,,, Industry: Computers - Software - Medium / Small,,,,270.85,,,,,,,,,,58.95,42.31,,,,,89.47,Sector: IT - Software ,1.46,,,,
,,18.02,,,,Bhansali Engineering Polymers Ltd,65.10,,,,0.46,,1.00,,, Industry: Petrochemicals,,,,1080,,,,,,,,,,58.09,47.35,,,,,19.75,Sector: Petrochemicals ,23.21,,,,
,,224.23,,,,Hawkins Cooker Ltd,2932,,,,2.39,,10.00,,, Industry: Domestic Appliances,,,,1551,,,,,,,,,,57.97,44.97,,,,,5.64,Sector: Consumer Durables ,28.61,,,,
,,31.15,,,,RKEC Projects Ltd,49.60,,,,4.03,,10.00,,, Industry: Construction,,,,118.99,,,,,,,,,,57.87,36.69,,,,,50.13,Sector: Construction ,5.85,,,,
,,32.89,,,,Bajaj Consumer Care Ltd,319.20,,,,4.39,,1.00,,, Industry: Personal Care - Indian,,,,4708,,,,,,,,,,57.45,46.65,,,,,4.54,Sector: FMCG ,20.38,,,,
,,18.62,,,,Oceanaa Biotek industries Ltd,7.39,,,,20.30,,10.00,,, Industry: Miscellaneous,,,,10.03,,,,,,,,,,57.22,36.26,,,,,9.22,Sector: Miscellaneous ,,,,,
,,449.47,,,,Nirav Commercials Ltd,178.30,,,,0.00,,10.00,,, Industry: Trading,,,,6.95,,,,,,,,,,56.94,45.51,,,,,-12.61,Sector: Trading ,43.44,,,,
,,1.33,,,,SBC Exports Ltd,23.90,,,,0.00,,10.00,,, Industry: Trading,,,,25.29,,,,,,,,,,56.36,83.42,,,,,%,Sector: Trading ,30.47,,,,
,,172.97,,,,Heritage Foods Ltd,395.05,,,,0.51,,5.00,,, Industry: Food - Processing - Indian,,,,1833,,,,,,,,,,55.09,9.26,,,,,4.61,Sector: FMCG ,22.46,,,,
,,12.01,,,,Soni Soya Products Ltd,25.10,,,,0.00,,10.00,,, Industry: Food - Processing - Indian,,,,12.94,,,,,,,,,,54.68,29.93,,,,,%,Sector: FMCG ,9.38,,,,
,,329.24,,,,SIL Investments Ltd,170.50,,,,0.88,,10.00,,, Industry: Finance & Investments,,,,180.73,,,,,,,,,,54.45,48.11,,,,,87.90,Sector: Finance ,9.16,,,,
,,11.90,,,,E2E Networks Ltd,40.00,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,57.16,,,,,,,,,,54.06,39.81,,,,,53.82,Sector: IT - Software ,9.96,,,,
,,196.21,,,,Swaraj Engines Ltd,1321,,,,3.79,,10.00,,, Industry: Engines,,,,1602,,,,,,,,,,54.05,34.94,,,,,18.35,Sector: Capital Goods-Non Electrical Equipment ,19.66,,,,
,,24.68,,,,Sirca Paints India Ltd,208.15,,,,0.00,,10.00,,, Industry: Trading,,,,570.42,,,,,,,,,,53.74,38.11,,,,,10.99,Sector: Trading ,29.42,,,,
,,32.51,,,,ICICI Securities Ltd,218.50,,,,4.30,,5.00,,, Industry: Finance & Investments,,,,7039,,,,,,,,,,52.91,51.82,,,,,%,Sector: Finance ,14.34,,,,
,,12.57,,,,Powerful Technologies Ltd,8.00,,,,0.00,,10.00,,, Industry: Electronics - Consumer,,,,8.02,,,,,,,,,,52.41,63.38,,,,,%,Sector: Consumer Durables ,1.78,,,,
,,20.72,,,,Meera Industries Ltd,224.00,,,,0.87,,10.00,,, Industry: Textile Machinery,,,,99.67,,,,,,,,,,52.30,39.60,,,,,38.95,Sector: Capital Goods-Non Electrical Equipment ,38.78,,,,
,,31.18,,,,Majestic Research Services & Solutions Ltd,9.51,,,,5.26,,10.00,,, Industry: Miscellaneous,,,,9.54,,,,,,,,,,51.85,42.59,,,,,103,Sector: Miscellaneous ,0.87,,,,
,,7.44,,,,Aaron Industries Ltd,47.00,,,,0.00,,10.00,,, Industry: Engineering,,,,22.48,,,,,,,,,,51.69,55.58,,,,,%,Sector: Capital Goods-Non Electrical Equipment ,21.01,,,,
,,144.44,,,,HDFC Asset Management Company Ltd,1946,,,,1.23,,5.00,,, Industry: Finance & Investments,,,,41371,,,,,,,,,,51.64,34.96,,,,,11.67,Sector: Finance ,44.45,,,,
,,151.38,,,,Tata Elxsi Ltd,849.50,,,,1.59,,10.00,,, Industry: Computers - Software - Medium / Small,,,,5290,,,,,,,,,,51.29,34.23,,,,,14.09,Sector: IT - Software ,18.38,,,,
,,1.30,,,,UTL Industries Ltd,7.54,,,,0.66,,1.00,,, Industry: Trading,,,,24.85,,,,,,,,,,50.00,35.97,,,,,344,Sector: Trading ,31.46,,,,
,,8.56,,,,Dolat Investments Ltd,44.10,,,,0.00,,1.00,,, Industry: Finance & Investments,,,,776.16,,,,,,,,,,49.99,33.52,,,,,59.94,Sector: Finance ,15.35,,,,
,,159.67,,,,Kanchi Karpooram Ltd,258.70,,,,0.77,,10.00,,, Industry: Chemicals,,,,107.16,,,,,,,,,,49.93,53.09,,,,,29.44,Sector: Chemicals ,3.78,,,,
,,430.07,,,,VST Industries Ltd,3280,,,,2.36,,10.00,,, Industry: Cigarettes,,,,5065,,,,,,,,,,49.56,32.37,,,,,4.26,Sector: Tobacco Products ,22.33,,,,
,,12.79,,,,Jamna Auto Industries Ltd,48.60,,,,1.95,,1.00,,, Industry: Auto Ancillaries,,,,1937,,,,,,,,,,48.60,29.43,,,,,19.35,Sector: Auto Ancillaries ,14.10,,,,
,,384.69,,,,Maithan Alloys Ltd,525.95,,,,0.57,,10.00,,, Industry: Mining / Minerals / Metals,,,,1531,,,,,,,,,,48.54,40.07,,,,,28.56,Sector: Mining & Mineral products ,6.00,,,,
,,5.06,,,,Alankit Ltd,28.55,,,,0.70,,1.00,,, Industry: Computers - Software - Medium / Small,,,,408.15,,,,,,,,,,48.38,39.05,,,,,203,Sector: IT - Software ,30.99,,,,
,,12.40,,,,Vivid Global Industries Ltd,24.55,,,,2.03,,5.00,,, Industry: Dyes And Pigments,,,,22.41,,,,,,,,,,48.00,36.51,,,,,20.48,Sector: Chemicals ,7.37,,,,
,,92.90,,,,Focus Lighting & Fixtures Ltd,151.00,,,,0.66,,10.00,,, Industry: Electric Equipment,,,,51.02,,,,,,,,,,47.98,36.72,,,,,18.48,Sector: Capital Goods - Electrical Equipment ,5.24,,,,
,,238.37,,,,Tata Consultancy Services Ltd,2108,,,,1.42,,1.00,,, Industry: Computers - Software - Large,,,,790853,,,,,,,,,,47.66,35.98,,,,,10.47,Sector: IT - Software ,24.51,,,,
,,176.98,,,,Britannia Industries Ltd,2781,,,,0.45,,1.00,,, Industry: Food - Processing - MNC,,,,66823,,,,,,,,,,47.47,32.90,,,,,8.05,Sector: FMCG ,57.65,,,,
,,-31.09,,,,Pioneer Distilleries Ltd,119.85,,,,0.00,,10.00,,, Industry: Breweries & Distilleries,,,,160.48,,,,,,,,,,47.42,%,,,,,-9.47,Sector: Alcoholic Beverages ,,,,,
,,100.90,,,,Valiant Organics Ltd,1625,,,,0.40,,10.00,,, Industry: Chemicals,,,,952.96,,,,,,,,,,46.77,30.06,,,,,26.87,Sector: Chemicals ,59.49,,,,
,,37.90,,,,SagarSoft (India) Ltd,77.20,,,,3.24,,10.00,,, Industry: Computers - Software - Medium / Small,,,,42.92,,,,,,,,,,46.75,32.72,,,,,42.23,Sector: IT - Software ,6.89,,,,
,,282.02,,,,Larsen & Toubro Infotech Ltd,1601,,,,1.75,,1.00,,, Industry: Computers - Software - Medium / Small,,,,27778,,,,,,,,,,46.57,34.63,,,,,17.34,Sector: IT - Software ,18.32,,,,
,,94.85,,,,SNL Bearings Ltd,259.85,,,,1.92,,10.00,,, Industry: Bearings,,,,93.81,,,,,,,,,,46.54,34.11,,,,,13.13,Sector: Auto Ancillaries ,11.52,,,,
,,204.17,,,,I G Petrochemicals Ltd,239.05,,,,1.67,,10.00,,, Industry: Chemicals,,,,736.15,,,,,,,,,,46.46,31.80,,,,,-1.21,Sector: Chemicals ,6.03,,,,
,,504.90,,,,Oracle Financial Services Software Ltd,3293,,,,3.93,,5.00,,, Industry: Computers - Software - Large,,,,28252,,,,,,,,,,46.14,31.01,,,,,5.05,Sector: IT - Software ,20.39,,,,
,,2.84,,,,Radha Madhav Corporation Ltd,6.10,,,,0.00,,10.00,,, Industry: Trading,,,,52.67,,,,,,,,,,46.09,%,,,,,24.76,Sector: Trading ,2.31,,,,
,,204.56,,,,Vinati Organics Ltd,2057,,,,0.34,,2.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs,,,,10572,,,,,,,,,,45.83,30.60,,,,,20.65,Sector: Pharmaceuticals ,37.39,,,,
,,42.93,,,,Coal India Ltd,231.25,,,,7.19,,10.00,,, Industry: Mining / Minerals / Metals,,,,142513,,,,,,,,,,45.55,31.62,,,,,20.24,Sector: Mining & Mineral products ,8.16,,,,
,,157.26,,,,CRISIL Ltd,1439,,,,2.08,,1.00,,, Industry: Miscellaneous,,,,10396,,,,,,,,,,45.49,32.97,,,,,8.21,Sector: Credit Rating Agencies ,29.08,,,,
,,12.56,,,,Prima Agro Ltd,9.03,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,4.69,,,,,,,,,,45.10,122,,,,,103,Sector: Miscellaneous ,2.22,,,,
,,74.79,,,,Shri Jagdamba Polymers Ltd,201.00,,,,0.50,,1.00,,, Industry: Packaging,,,,176.04,,,,,,,,,,44.72,46.41,,,,,17.50,Sector: Packaging ,8.05,,,,
,,69.66,,,,TCI Express Ltd,628.35,,,,0.48,,2.00,,, Industry: Couriers,,,,2410,,,,,,,,,,44.23,30.83,,,,,%,Sector: Miscellaneous ,32.99,,,,
,,82.66,,,,Metropolis Healthcare Ltd,1068,,,,0.00,,2.00,,, Industry: Healthcare,,,,5360,,,,,,,,,,43.95,27.48,,,,,12.21,Sector: Healthcare ,52.86,,,,
,,103.16,,,,PSP Projects Ltd,532.15,,,,0.94,,10.00,,, Industry: Construction,,,,1916,,,,,,,,,,43.47,31.39,,,,,37.55,Sector: Construction ,21.23,,,,
,,119.96,,,,Shivalik Rasayan Ltd,241.40,,,,0.13,,5.00,,, Industry: Pesticides / Agrochemicals - Indian,,,,332.63,,,,,,,,,,43.32,52.21,,,,,55.45,Sector: Agro Chemicals ,21.67,,,,
,,24.56,,,,Vakrangee Ltd,37.40,,,,0.67,,1.00,,, Industry: Computers - Software - Converts,,,,3962,,,,,,,,,,43.18,29.29,,,,,32.73,Sector: IT - Software ,162.99,,,,
,,163.16,,,,Fine Organic Industries Ltd,1387,,,,0.50,,5.00,,, Industry: Chemicals,,,,4253,,,,,,,,,,43.16,30.41,,,,,%,Sector: Chemicals ,31.23,,,,
,,26.65,,,,Andhra Petrochemicals Ltd,49.50,,,,0.00,,10.00,,, Industry: Chemicals,,,,420.61,,,,,,,,,,42.99,36.36,,,,,25.85,Sector: Chemicals ,6.02,,,,
,,56.93,,,,Cupid Ltd,112.45,,,,3.34,,10.00,,, Industry: Miscellaneous,,,,149.99,,,,,,,,,,42.92,28.55,,,,,21.95,Sector: Miscellaneous ,9.85,,,,
,,1.00,,,,Generic Pharmasec Ltd,14.06,,,,0.00,,1.00,,, Industry: Dyes And Pigments,,,,304.90,,,,,,,,,,42.86,%,,,,,58.74,Sector: Chemicals ,1694,,,,
,,-3.93,,,,Siel Financial Services Ltd,9.50,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,10.78,,,,,,,,,,42.79,%,,,,,316,Sector: Finance ,,,,,
,,234.17,,,,L&T Technology Services Ltd,1630,,,,1.29,,2.00,,, Industry: Computers - Software - Medium / Small,,,,16958,,,,,,,,,,42.42,31.82,,,,,17.65,Sector: IT - Software ,24.22,,,,
,,12.75,,,,Gujarat Themis Biosyn Ltd,39.00,,,,0.00,,5.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs,,,,56.66,,,,,,,,,,42.25,38.09,,,,,7.26,Sector: Pharmaceuticals ,8.84,,,,
,,192.06,,,,International Paper APPM Ltd,432.85,,,,0.00,,10.00,,, Industry: Paper,,,,1721,,,,,,,,,,42.19,30.82,,,,,8.30,Sector: Paper ,8.41,,,,
,,27.53,,,,Solex Energy Ltd,25.30,,,,3.95,,10.00,,, Industry: Power Generation And Supply,,,,12.50,,,,,,,,,,42.06,36.70,,,,,%,Sector: Power Generation & Distribution ,3.96,,,,
,,259.65,,,,Apollo Sindoori Hotels Ltd,879.60,,,,0.17,,5.00,,, Industry: Hotels,,,,228.73,,,,,,,,,,42.04,35.70,,,,,-3.99,Sector: Hotels & Restaurants ,11.13,,,,
,,253.48,,,,DIL Ltd,808.50,,,,0.15,,5.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs,,,,741.62,,,,,,,,,,42.01,64.55,,,,,37.62,Sector: Pharmaceuticals ,6.44,,,,
,,184.93,,,,CARE Ratings Ltd,885.20,,,,6.21,,10.00,,, Industry: Miscellaneous,,,,2608,,,,,,,,,,41.78,29.02,,,,,8.49,Sector: Credit Rating Agencies ,18.97,,,,
,,-13.79,,,,Cella Space Ltd,4.85,,,,0.00,,10.00,,, Industry: Paper,,,,8.83,,,,,,,,,,40.82,%,,,,,-78.55,Sector: Paper ,,,,,
,,23.44,,,,Marico Ltd,371.00,,,,1.28,,1.00,,, Industry: Personal Care - Indian,,,,47894,,,,,,,,,,40.80,39.67,,,,,6.82,Sector: FMCG ,43.04,,,,
,,101.43,,,,Global Education Ltd,92.25,,,,2.71,,10.00,,, Industry: Miscellaneous,,,,22.91,,,,,,,,,,40.78,28.25,,,,,85.80,Sector: Education ,3.61,,,,
,,945.22,,,,Abbott India Ltd,8897,,,,0.62,,10.00,,, Industry: Pharmaceuticals - Multinational,,,,18907,,,,,,,,,,40.63,26.07,,,,,12.95,Sector: Pharmaceuticals ,41.98,,,,
,,3268,,,,Eicher Motors Ltd,18955,,,,0.66,,10.00,,, Industry: Automobiles - Motorcycles / Mopeds,,,,51727,,,,,,,,,,40.59,27.63,,,,,16.64,Sector: Automobile ,23.48,,,,
,,100.77,,,,TCNS Clothing Co. Ltd,771.90,,,,0.00,,2.00,,, Industry: Textiles - Products,,,,4738,,,,,,,,,,40.54,27.68,,,,,%,Sector: Textiles ,36.05,,,,
,,118.84,,,,ICICI Lombard General Insurance Company Ltd,1064,,,,0.56,,10.00,,, Industry: Miscellaneous,,,,48345,,,,,,,,,,40.37,19.48,,,,,29.01,Sector: Insurance ,49.02,,,,
,,78.62,,,,Multibase India Ltd,171.20,,,,0.00,,10.00,,, Industry: Plastics Products,,,,216.06,,,,,,,,,,40.34,26.38,,,,,20.75,Sector: Plastic products ,14.08,,,,
,,44.07,,,,JTL Infra Ltd,115.00,,,,0.00,,10.00,,, Industry: Steel - Medium / Small,,,,115.12,,,,,,,,,,40.33,41.03,,,,,12.51,Sector: Steel ,7.94,,,,
,,75.77,,,,Balmer Lawrie Investment Ltd,439.95,,,,5.46,,10.00,,, Industry: Finance & Investments,,,,976.69,,,,,,,,,,40.30,38.98,,,,,13.72,Sector: Finance ,12.87,,,,
,,11.25,,,,Dhruv Consultancy Services Ltd,28.55,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,40.81,,,,,,,,,,40.27,53.02,,,,,%,Sector: Miscellaneous ,5.92,,,,
,,117.81,,,,Gulf Oil Lubricants India Ltd,860.50,,,,1.22,,2.00,,, Industry: Chemicals,,,,4285,,,,,,,,,,40.25,38.57,,,,,11.25,Sector: Chemicals ,24.11,,,,
,,135.42,,,,Expleo Solutions Ltd,386.65,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,396.41,,,,,,,,,,40.17,27.11,,,,,2.30,Sector: IT - Software ,10.94,,,,
,,67.69,,,,Kushal Ltd,12.12,,,,6.77,,2.00,,, Industry: Paper,,,,287.56,,,,,,,,,,40.02,37.18,,,,,75.36,Sector: Paper ,,,,,
,,113.63,,,,Apex Frozen Foods Ltd,249.55,,,,0.80,,10.00,,, Industry: Aquaculture,,,,779.84,,,,,,,,,,39.93,38.42,,,,,18.55,Sector: Miscellaneous ,12.83,,,,
,,973.54,,,,GlaxoSmithkline Consumer Healthcare Ltd,7423,,,,1.41,,10.00,,, Industry: Food - Processing - MNC,,,,31221,,,,,,,,,,39.91,25.92,,,,,4.95,Sector: FMCG ,31.78,,,,
,,24.11,,,,Punjab Alkalies & Chemicals Ltd,68.80,,,,0.00,,10.00,,, Industry: Chlor Alkali / Soda Ash,,,,186.73,,,,,,,,,,39.83,15.04,,,,,7.90,Sector: Chemicals ,3.34,,,,
